airport_name,cancellation_reason,num_cancellations
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,15
"Montrose/Delta, CO: Montrose Regional",Weather,1
"Myrtle Beach, SC: Myrtle Beach International",Carrier,2
"Oakland, CA: Metropolitan Oakland International",Carrier,13
"Kahului, HI: Kahului Airport",Carrier,11
"Oklahoma City, OK: Will Rogers World",Weather,15
"Omaha, NE: Eppley Airfield",Weather,5
"Ontario, CA: Ontario International",Weather,11
"Chicago, IL: Chicago O'Hare International",Weather,52
"Norfolk, VA: Norfolk International",Weather,3
"Kotzebue, AK: Ralph Wien Memorial",Weather,2
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,3
"Portland, OR: Portland International",Carrier,11
"Punta Gorda, FL: Punta Gorda Airport",Carrier,1
"Philadelphia, PA: Philadelphia International",Carrier,6
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,31
"Peoria, IL: General Downing - Peoria International",Weather,2
"Pittsburgh, PA: Pittsburgh International",Weather,5
"Pensacola, FL: Pensacola International",Weather,1
"Prescott, AZ: Prescott Regional Ernest A Love Field",Weather,1
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,2
"Palm Springs, CA: Palm Springs International",Weather,6
"Providence, RI: Theodore Francis Green State",Carrier,1
"Rapid City, SD: Rapid City Regional",Weather,4
"Redding, CA: Redding Municipal","National Air System",1
"Bend/Redmond, OR: Roberts Field",Weather,2
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,2
"Richmond, VA: Richmond International",Weather,1
"Riverton/Lander, WY: Riverton Regional",Weather,2
"Rock Springs, WY: Southwest Wyoming Regional",Weather,2
"Reno, NV: Reno/Tahoe International",Weather,7
"Roswell, NM: Roswell International Air Center",Weather,3
"Fort Myers, FL: Southwest Florida International",Weather,2
"Santa Fe, NM: Santa Fe Municipal",Weather,19
"San Diego, CA: San Diego International",Weather,13
"San Antonio, TX: San Antonio International",Weather,18
"Savannah, GA: Savannah/Hilton Head International",Weather,2
"Santa Barbara, CA: Santa Barbara Municipal",Weather,2
"South Bend, IN: South Bend International",Weather,3
"San Luis Obispo, CA: San Luis County Regional",Weather,5
"Stockton, CA: Stockton Metropolitan",Carrier,1
"Louisville, KY: Louisville Muhammad Ali International",Weather,1
"Seattle, WA: Seattle/Tacoma International",Carrier,23
"San Francisco, CA: San Francisco International",Weather,83
"Springfield, MO: Springfield-Branson National",Weather,6
"St. George, UT: St George Regional",Weather,3
"Sheridan, WY: Sheridan County",Weather,2
"Shreveport, LA: Shreveport Regional",Weather,3
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,9
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,1
"San Juan, PR: Luis Munoz Marin International",Carrier,7
"Salt Lake City, UT: Salt Lake City International",Weather,15
"Salina, KS: Salina Regional",Weather,1
"Sacramento, CA: Sacramento International",Weather,12
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,11
"Saipan, TT: Francisco C. Ada Saipan International","National Air System",1
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,2
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Weather,10
"St. Louis, MO: St Louis Lambert International",Weather,5
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,3
"Charlotte Amalie, VI: Cyril E King",Carrier,2
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,1
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,2
"Stillwater, OK: Stillwater Regional",Weather,1
"Syracuse, NY: Syracuse Hancock International",Carrier,1
